baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
hisH	0.000159356470992002	-0.0671561561389785	0.143778961220438	0	1	1	WP_000196730.1
hisB	0.000215968961720876	-0.0195911136455064	0.138836587695469	0	1	1	WP_000194096.1
ABUW_RS01230	0.000168144243055544	-0.111000709085964	0.137723694782619	0	1	1	WP_001123235.1
ABUW_RS01235	5.08533281430774e-06	-0.0407643365290306	0.310489553397065	0	1	1	no data
ABUW_RS01240	8.89981508763688e-07	0.128998433349422	0.563576610257112	0	1	1	no data
ABUW_RS01245	2.61800673360726e-05	0.198303253331948	0.182701133862681	0	1	1	WP_000469967.1
ABUW_RS01250	0.000851546672092693	-0.0667847460808155	0.200245801480785	0	1	1	WP_000059344.1
ABUW_RS20095	4.05462419571414e-07	-0.96962778751512	0.703934844694217	0	1	1	WP_085916955.1
ABUW_RS01255	0.000279508874219502	0.0266640829401195	0.143481482631898	0	1	1	WP_000051217.1
ompR	0.000743516758922421	-0.0976199020813955	0.146292939936137	0	1	1	WP_000060753.1
ABUW_RS01265	0.000399960354698058	0.182012993842197	0.126627489991404	0	1	1	WP_000131198.1
ABUW_RS01270	0.000411499204526497	-0.0272673981442185	0.173264136900151	0	1	1	WP_001111063.1
ABUW_RS01275	2.88576468661272e-05	0.243916615982546	0.187047854494862	0	1	1	WP_001035486.1
ABUW_RS01280	8.13813838858741e-05	0.521523443127388	0.167099358669888	0	1	1	WP_000221158.1
ettA	0.000830164085871906	-0.127285610692124	0.135569852263017	0	1	1	WP_000090021.1
ABUW_RS01290	1.89427635875485e-05	0.147683232963316	0.209359156498096	0	1	1	WP_000721434.1
ABUW_RS01295	2.23247657922709e-05	0.160116095491593	0.203595943853073	0	1	1	WP_000278586.1
ABUW_RS01300	4.00895755221665e-05	0.179860268982801	0.195970516174374	0	1	1	WP_001138084.1
ABUW_RS01305	4.52609092133808e-05	0.151758488570725	0.167598170858382	0	1	1	WP_005115306.1
ABUW_RS01310	3.58465776965361e-05	0.133604046043215	0.186093221090733	0	1	1	WP_001275655.1
ABUW_RS01315	0.000141164140511183	0.0902622598719919	0.150745872536053	0	1	1	WP_000353983.1
ABUW_RS01320	8.94597596437815e-05	0.140740151337397	0.154086408996278	0	1	1	WP_000508762.1
ABUW_RS01325	4.90934721548429e-05	-0.0504926143982497	0.167101038089718	0	1	1	WP_001200011.1
ABUW_RS01330	0.000116505112579418	0.112328839961376	0.17122907155309	0	1	1	WP_000529525.1
ABUW_RS01335	3.43214656645944e-07	0.506417973027292	0.768775850914326	0	1	1	no data
ABUW_RS01340	3.09296835549201e-06	-0.419388460367356	0.313650478594776	0	1	1	no data
ABUW_RS01345	5.37401016849151e-05	0.222680463077158	0.193214598333568	0	1	1	WP_001986587.1
ABUW_RS01350	0.000533296942478318	0.109993694061766	0.147486189216631	0	1	1	WP_001183126.1
ABUW_RS01355	6.92570855518418e-05	0.172988968430672	0.202581735463658	0	1	1	no data
ABUW_RS01360	1.25961394897613e-05	-0.0983557022985364	0.215222636812913	0	1	1	no data
gltX	0.000751335510237833	0.1668632943689	0.133786099632878	0	1	1	WP_000868422.1
ABUW_RS01370	0.000476921193787663	0.161730817652741	0.156953467321586	0	1	1	WP_000690905.1
