baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
dapB	0.00010325164456282	0.0187702591076531	0.165487770962998	0	1	1	WP_001271382.1
ABUW_RS00195	5.6172812077725e-05	-1.31028713060917	0.190608095985849	0	1	1	WP_001036017.1
ABUW_RS00200	9.06767596672818e-05	-0.902977804702151	0.161843734729025	0	1	1	WP_001097146.1
dkgB	6.63097227659398e-05	-1.08157893526971	0.16697921391311	0	1	1	WP_001025227.1
ABUW_RS00210	2.6947138453513e-05	-2.05566115663274	0.226908087690847	-0.245302656239265	0.806222095192192	1	WP_000843074.1
ABUW_RS00215	4.9402745356206e-06	-2.79246093742118	0.442712057950711	-1.79001435174238	0.073451604237852	0.200698749607652	WP_000770098.1
ABUW_RS20070	0	NA	NA	NA	NA	NA	WP_002009488.1
ABUW_RS00220	5.54594984373938e-05	-2.49742557656571	0.184491396381398	-2.69619931510183	0.00701356862476573	0.0223420741084491	WP_000143937.1
ABUW_RS00225	0.000157215319572191	0.759103442919246	0.147523346792816	0	1	1	WP_000069845.1
ABUW_RS00230	5.66611828468246e-05	-0.171925699966203	0.168880801082185	0	1	1	WP_000857011.1
ABUW_RS00235	1.07977276814574e-05	-0.911066361145971	0.272930339670631	0	1	1	WP_001287365.1
ABUW_RS00240	3.13113824912547e-05	-1.0949996482185	0.202582753364507	0	1	1	WP_001252461.1
mutY	6.78524321876157e-05	-2.3236757450836	0.186764979287764	-1.73306444451175	0.0830842150923014	0.225116448713778	WP_001113866.1
ABUW_RS00250	0.000143062148811176	0.589484422162181	0.159531489378643	0	1	1	WP_000130110.1
ABUW_RS00255	0.000248685946900465	1.66710338345387	0.167453470354531	0	1	1	WP_000100767.1
ABUW_RS00260	0.000108069671528042	2.1305212471488	0.192649111571118	0.677507651524328	0.498083917025162	1	WP_000490267.1
ABUW_RS00265	8.90248709482406e-05	-4.00508104288198	0.234236475296343	-8.56007178363345	1.12797267223591e-17	1.86235488011716e-16	WP_000102818.1
ABUW_RS00270	0.000310261639887032	0.497486615596699	0.157674997389166	0	1	1	WP_001990830.1
ABUW_RS00275	0.000228780903233661	-1.14489002977771	0.15668912222375	0	1	1	WP_001285403.1
ABUW_RS00280	0.000194791220958802	-1.49454526357286	0.171369354780859	0	1	1	WP_000349500.1
ABUW_RS00285	5.89182489289454e-05	-3.33984666231488	0.226005047681193	-5.92839264459656	3.05914309324028e-09	2.19398802250874e-08	WP_000418560.1
ABUW_RS00290	0.000225367805299549	0.756305939217694	0.138252204794098	0	1	1	WP_000917863.1
ABUW_RS00295	0.000324393833537178	0.190646104336045	0.140896654756622	0	1	1	WP_001177091.1
