baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
ABUW_RS00200	9.06767596672818e-05	0.26008176725046	0.165207495849037	0	1	1	WP_001097146.1
dkgB	6.63097227659398e-05	0.233824061447098	0.172703374712968	0	1	1	WP_001025227.1
ABUW_RS00210	2.6947138453513e-05	0.388496513889406	0.247777562098977	0	1	1	WP_000843074.1
ABUW_RS00215	4.9402745356206e-06	-0.41047077864974	0.607102508818264	0	1	1	WP_000770098.1
ABUW_RS20070	0	NA	NA	NA	NA	NA	WP_002009488.1
ABUW_RS00220	5.54594984373938e-05	0.388799312870269	0.201575926266979	0	1	1	WP_000143937.1
ABUW_RS00225	0.000157215319572191	0.23448100982508	0.146227126341485	0	1	1	WP_000069845.1
ABUW_RS00230	5.66611828468246e-05	0.0342487083653836	0.171087393061847	0	1	1	WP_000857011.1
ABUW_RS00235	1.07977276814574e-05	-0.0881818902806177	0.297273046135988	0	1	1	WP_001287365.1
ABUW_RS00240	3.13113824912547e-05	-0.0543929520684052	0.215069393855442	0	1	1	WP_001252461.1
mutY	6.78524321876157e-05	0.0869119215155647	0.202815767100724	0	1	1	WP_001113866.1
ABUW_RS00250	0.000143062148811176	0.0616183432402835	0.15885789286759	0	1	1	WP_000130110.1
ABUW_RS00255	0.000248685946900465	0.383218178249256	0.165287078577669	0	1	1	WP_000100767.1
ABUW_RS00260	0.000108069671528042	0.430693735217823	0.186120653126597	0	1	1	WP_000490267.1
ABUW_RS00265	8.90248709482406e-05	0.520336741966183	0.264946358801249	0	1	1	WP_000102818.1
ABUW_RS00270	0.000310261639887032	0.564103157623472	0.156941816219851	0	1	1	WP_001990830.1
ABUW_RS00275	0.000228780903233661	0.216004546737548	0.158799916891963	0	1	1	WP_001285403.1
ABUW_RS00280	0.000194791220958802	0.611194890817808	0.173582595462695	0	1	1	WP_000349500.1
ABUW_RS00285	5.89182489289454e-05	0.652751536905522	0.250530073972268	0	1	1	WP_000418560.1
ABUW_RS00290	0.000225367805299549	0.0159774220097224	0.137568940534916	0	1	1	WP_000917863.1
ABUW_RS00295	0.000324393833537178	0.0879250463040571	0.140929498914484	0	1	1	WP_001177091.1
dapA	0.000567729690008296	0.0851304464548285	0.140147467814047	0	1	1	WP_000193600.1
pncA	6.96686434630368e-05	0.0693104406436584	0.16848059564082	0	1	1	WP_001985076.1
ABUW_RS00310	4.53141692002425e-05	0.37567620025971	0.198670041339262	0	1	1	WP_001275073.1
ABUW_RS00315	4.40966690294621e-05	0.669165581022581	0.333706251720314	0	1	1	WP_001071753.1
ABUW_RS00320	1.73797426423692e-05	0.294499847043216	0.440459281665307	0	1	1	WP_000924617.1
hppD	0.00149572568311741	0.483144053322698	0.134879885177722	0	1	1	WP_000353163.1
ABUW_RS00330	0.000258776781511975	0.311478003877808	0.158318721684852	0	1	1	WP_000568800.1
ABUW_RS00335	0.00043086509501257	0.277431960158927	0.146902144128679	0	1	1	WP_000141645.1
