baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
murC	0.000222478209671473	-0.367732604819497	0.139372172166089	0	1	1	WP_000075472.1
ABUW_RS00735	0.000198851460586965	-0.0512283901805062	0.142648660543485	0	1	1	WP_000063665.1
ABUW_RS00740	0.000132964867866788	-0.881459853553603	0.146379072959698	0	1	1	WP_000057904.1
ftsA	0.00149458898329069	-2.20992457801718	0.144573581964376	-1.45202584846312	0.146494418131474	0.406579644027266	WP_001287630.1
ftsZ	0.00182089215040794	-0.942295529669613	0.133698409731369	0	1	1	WP_000135734.1
lpxC	0.000264317167101995	-2.62685315941039	0.147579608016749	-4.24755945509251	2.16111824093919e-05	0.000113007261116497	WP_000240700.1
ABUW_RS00760	0.000331412142538534	-2.41016742189277	0.154399311417009	-2.65653660063919	0.00789478805446642	0.0280510784352836	WP_000042455.1
ABUW_RS00765	0.00140702345589953	-2.54982766402968	0.138262291569213	-3.97670006615245	6.98782108854976e-05	0.000340612384718255	WP_000557460.1
aceE	0.00244818698421745	0.835516476435054	0.130797019958522	0	1	1	WP_000896433.1
ABUW_RS00775	0.00159143038476082	1.29637433283348	0.131785254533098	0	1	1	WP_001166117.1
ABUW_RS00780	2.407864634144e-05	-2.16119172639543	0.232018447790822	-0.69473668120027	0.487220335822345	1	WP_000900285.1
ABUW_RS00785	0.000209470040236164	-2.59563587692403	0.156998865825967	-3.79388649586991	0.000148307489343049	0.000682601493061719	WP_001154984.1
ABUW_RS00790	0.000128794534388037	-3.00888295556175	0.180368860954992	-5.59344307116017	2.22610239104034e-08	1.77356822941202e-07	WP_000194085.1
ABUW_RS00795	3.27648083104049e-05	-3.23180372733559	0.236894900028653	-5.19978997938156	1.99513834936903e-07	1.37988178173829e-06	WP_000505317.1
ABUW_RS00800	2.28868986464291e-05	-3.19465042847238	0.272937250739023	-4.37701495577342	1.20315721602458e-05	6.55653089631372e-05	WP_000952249.1
guaB	0.000917543444577508	-0.352516499305436	0.129902488288388	0	1	1	WP_000956023.1
glmM	0.000304230199497127	0.310857049445943	0.138943378496561	0	1	1	WP_000119870.1
pdxH	0.000135021903312587	-0.272551677915105	0.163412093629564	0	1	1	WP_001286115.1
recJ	0.000374250996661639	-3.70542138214366	0.185407177958941	-9.19824896165206	3.6383001338141e-20	1.03040908899261e-18	WP_000161610.1
ABUW_RS00825	0.00545096940249833	2.88062356026767	0.16707955631912	5.27068409605832	1.35916223952802e-07	9.62326549154873e-07	WP_000731729.1
prfB	0.000166639202351734	-1.25091031359938	0.150256427658402	0	1	1	no_data
ABUW_RS00835	5.21291477224407e-05	-1.1684727483497	0.174288061787014	0	1	1	WP_000350419.1
ABUW_RS00840	0.000134613935368861	-1.77957182891814	0.144839307003299	0	1	1	WP_000819049.1
ABUW_RS00845	9.93789473956556e-05	-1.6801600820655	0.158622332124594	0	1	1	WP_000224849.1
ABUW_RS00850	3.2651348116894e-05	-1.87593386819177	0.208852088766099	0	1	1	WP_001028416.1
ABUW_RS00855	9.25675969528952e-05	-0.506966945744737	0.155723772860555	0	1	1	WP_000752853.1
ABUW_RS00860	4.77970304316478e-05	-0.0498211663966089	0.183919588216478	0	1	1	WP_000457175.1
acs	0.00045715001382804	0.815864586078615	0.195754490820226	0	1	1	WP_001002965.1
ABUW_RS00870	1.91918633201651e-05	-2.73256910703472	0.260041063263848	-2.81712856362008	0.00484551253094768	0.0177364043585632	WP_000806375.1
ABUW_RS00875	2.36360756634951e-05	-3.74205859108288	0.291747423312605	-5.9711190292717	2.35631745589581e-09	2.09210794711115e-08	WP_001019415.1
sfnG	0.000107371767417485	-1.94458189958444	0.185577024691046	0	1	1	WP_000192774.1
msuE	7.80609790333539e-05	-1.09358441656276	0.197898461072408	0	1	1	WP_000145860.1
ABUW_RS00890	0.000126224016464081	-0.335511541342068	0.154327292418898	0	1	1	WP_001023261.1
ABUW_RS00895	0.000610674399366929	-1.39799084517984	0.150603900207624	0	1	1	WP_001026735.1
ABUW_RS00900	0.000253837319669034	-0.337726179501844	0.145488209407035	0	1	1	WP_001089740.1
ABUW_RS00905	6.98523684045752e-05	0.249956118816265	0.223912771133832	0	1	1	WP_000372818.1
ABUW_RS00910	0.000429565954371105	0.851311852038322	0.21733449105877	0	1	1	WP_000871885.1
ABUW_RS00915	3.3142125203798e-05	-0.967653865546776	0.201621609480066	0	1	1	WP_001256565.1
betT	0.000623772071428856	2.00882223168309	0.14601405123972	0.0604204294599729	0.951820788024437	1	WP_001139472.1
omp33-36	0.000895315160384541	-0.62175744402705	0.221512284916137	0	1	1	WP_000733010.1
ABUW_RS00930	0.000629485715716634	-5.09452499978031	0.188506847013823	-16.4159819592833	1.46983483161444e-60	1.42573978666601e-57	WP_000016108.1
uvrA	0.000718386054528287	0.287510339130281	0.136255051845893	0	1	1	WP_000083355.1
ABUW_RS00940	6.19293309815846e-05	-2.13000468260024	0.19211813853179	-0.676691350404288	0.498601805578837	1	WP_000826320.1
ABUW_RS00945	0.000136744977845828	-0.303687112440714	0.141838459841271	0	1	1	WP_001256573.1
ABUW_RS00950	9.34015697548903e-06	-0.743777098661715	0.280385957916364	0	1	1	WP_000580168.1
ABUW_RS00955	4.57821316089387e-06	-1.49430261491808	0.382218810320563	0	1	1	WP_000263326.1
tenA	3.03167827603164e-05	-0.324333798272493	0.18568346761002	0	1	1	WP_000899418.1
ABUW_RS00965	0.000123627261061696	0.937274629082606	0.174425201076222	0	1	1	WP_000680213.1
ABUW_RS00970	0.000172733689617171	-0.606194801973802	0.143014484864147	0	1	1	WP_001986480.1
ssb	0.000301587477805223	-0.859996268300417	0.134866234475974	0	1	1	WP_001215080.1;WP_002014678.1
ABUW_RS00980	4.37851451559411e-05	0.379117143352886	0.201430138811669	0	1	1	WP_000082714.1
ABUW_RS00985	0.000115388716401009	-0.547975743462298	0.185818344836537	0	1	1	WP_000431598.1
ABUW_RS00990	5.26997367674704e-05	-1.58555978689221	0.173640863701431	0	1	1	WP_000081859.1
